team,season,name,gameId,opposingTeam,home_or_away,situation,penaltiesFor,penaltiesAgainst,delta,total
PHI,2008,PHI,2008020089,S.J,HOME,all,7,5,2,12
S.J,2008,S.J,2008020089,PHI,AWAY,all,5,7,2,12
DET,2008,DET,2008020090,STL,AWAY,all,7,5,2,12
STL,2008,STL,2008020090,DET,HOME,all,5,7,2,12
EDM,2008,EDM,2008020091,CHI,AWAY,all,6,7,1,13
CHI,2008,CHI,2008020091,EDM,HOME,all,7,6,1,13
BOS,2008,BOS,2008020092,TOR,HOME,all,7,4,3,11
TOR,2008,TOR,2008020092,BOS,AWAY,all,4,7,3,11
NYI,2008,NYI,2008020093,DAL,HOME,all,6,6,0,12
DAL,2008,DAL,2008020093,NYI,AWAY,all,6,6,0,12
CAR,2008,CAR,2008020094,PIT,AWAY,all,5,4,1,9
PIT,2008,PIT,2008020094,CAR,HOME,all,4,5,1,9
NSH,2008,NSH,2008020095,CGY,HOME,all,6,9,3,15
CGY,2008,CGY,2008020095,NSH,AWAY,all,9,6,3,15
BUF,2008,BUF,2008020096,MIN,AWAY,all,3,2,1,5
MIN,2008,MIN,2008020096,BUF,HOME,all,2,3,1,5
EDM,2008,EDM,2008020097,COL,AWAY,all,8,6,2,14
COL,2008,COL,2008020097,EDM,HOME,all,6,8,2,14
WSH,2008,WSH,2008020098,ARI,AWAY,all,4,4,0,8
ARI,2008,ARI,2008020098,WSH,HOME,all,4,4,0,8
OTT,2008,OTT,2008020099,ANA,HOME,all,3,8,5,11
ANA,2008,ANA,2008020099,OTT,AWAY,all,8,3,5,11
N.J,2008,N.J,2008020100,PHI,HOME,all,5,5,0,10
PHI,2008,PHI,2008020100,N.J,AWAY,all,5,5,0,10
CBJ,2008,CBJ,2008020101,NYR,HOME,all,8,7,1,15
NYR,2008,NYR,2008020101,CBJ,AWAY,all,7,8,1,15
FLA,2008,FLA,2008020102,S.J,HOME,all,5,3,2,8
S.J,2008,S.J,2008020102,FLA,AWAY,all,3,5,2,8
ATL,2008,ATL,2008020103,DET,AWAY,all,4,7,3,11
DET,2008,DET,2008020103,ATL,HOME,all,7,4,3,11
STL,2008,STL,2008020104,L.A,HOME,all,10,11,1,21
L.A,2008,L.A,2008020104,STL,AWAY,all,11,10,1,21
ATL,2008,ATL,2008020105,BOS,AWAY,all,6,5,1,11
BOS,2008,BOS,2008020105,ATL,HOME,all,5,6,1,11
TOR,2008,TOR,2008020106,OTT,HOME,all,3,7,4,10
OTT,2008,OTT,2008020106,TOR,AWAY,all,7,3,4,10
ANA,2008,ANA,2008020107,MTL,AWAY,all,9,7,2,16
MTL,2008,MTL,2008020107,ANA,HOME,all,7,9,2,16
CAR,2008,CAR,2008020108,NYI,AWAY,all,9,4,5,13
NYI,2008,NYI,2008020108,CAR,HOME,all,4,9,5,13
NYR,2008,NYR,2008020109,PIT,HOME,all,2,5,3,7
PIT,2008,PIT,2008020109,NYR,AWAY,all,5,2,3,7
PHI,2008,PHI,2008020110,N.J,HOME,all,10,10,0,20
N.J,2008,N.J,2008020110,PHI,AWAY,all,10,10,0,20
S.J,2008,S.J,2008020111,T.B,AWAY,all,3,7,4,10
T.B,2008,T.B,2008020111,S.J,HOME,all,7,3,4,10
NSH,2008,NSH,2008020112,L.A,HOME,all,5,3,2,8
L.A,2008,L.A,2008020112,NSH,AWAY,all,3,5,2,8
MIN,2008,MIN,2008020113,CBJ,HOME,all,2,4,2,6
CBJ,2008,CBJ,2008020113,MIN,AWAY,all,4,2,2,6
DAL,2008,DAL,2008020114,WSH,HOME,all,5,5,0,10
WSH,2008,WSH,2008020114,DAL,AWAY,all,5,5,0,10
CHI,2008,CHI,2008020115,DET,HOME,all,3,7,4,10
DET,2008,DET,2008020115,CHI,AWAY,all,7,3,4,10
FLA,2008,FLA,2008020116,STL,AWAY,all,8,5,3,13
STL,2008,STL,2008020116,FLA,HOME,all,5,8,3,13
BUF,2008,BUF,2008020117,COL,AWAY,all,3,3,0,6
COL,2008,COL,2008020117,BUF,HOME,all,3,3,0,6
VAN,2008,VAN,2008020118,EDM,HOME,all,7,10,3,17
EDM,2008,EDM,2008020118,VAN,AWAY,all,10,7,3,17
ARI,2008,ARI,2008020119,CGY,HOME,all,5,5,0,10
CGY,2008,CGY,2008020119,ARI,AWAY,all,5,5,0,10
OTT,2008,OTT,2008020120,BUF,AWAY,all,12,9,3,21
BUF,2008,BUF,2008020120,OTT,HOME,all,9,12,3,21
NYR,2008,NYR,2008020121,NYI,AWAY,all,7,11,4,18
NYI,2008,NYI,2008020121,NYR,HOME,all,11,7,4,18
ANA,2008,ANA,2008020122,CBJ,AWAY,all,9,8,1,17
CBJ,2008,CBJ,2008020122,ANA,HOME,all,8,9,1,17
CHI,2008,CHI,2008020123,MIN,AWAY,all,5,4,1,9
MIN,2008,MIN,2008020123,CHI,HOME,all,4,5,1,9
EDM,2008,EDM,2008020124,BOS,HOME,all,5,3,2,8
BOS,2008,BOS,2008020124,EDM,AWAY,all,3,5,2,8
L.A,2008,L.A,2008020125,DET,HOME,all,6,7,1,13
DET,2008,DET,2008020125,L.A,AWAY,all,7,6,1,13
NSH,2008,NSH,2008020126,WSH,AWAY,all,5,6,1,11
WSH,2008,WSH,2008020126,NSH,HOME,all,6,5,1,11
ATL,2008,ATL,2008020127,PHI,HOME,all,8,6,2,14
PHI,2008,PHI,2008020127,ATL,AWAY,all,6,8,2,14
TOR,2008,TOR,2008020128,T.B,HOME,all,5,6,1,11
T.B,2008,T.B,2008020128,TOR,AWAY,all,6,5,1,11
CAR,2008,CAR,2008020129,MTL,AWAY,all,8,7,1,15
MTL,2008,MTL,2008020129,CAR,HOME,all,7,8,1,15
CGY,2008,CGY,2008020130,COL,HOME,all,4,3,1,7
COL,2008,COL,2008020130,CGY,AWAY,all,3,4,1,7
BOS,2008,BOS,2008020131,VAN,AWAY,all,3,2,1,5
VAN,2008,VAN,2008020131,BOS,HOME,all,2,3,1,5
S.J,2008,S.J,2008020132,PIT,HOME,all,3,7,4,10
PIT,2008,PIT,2008020132,S.J,AWAY,all,7,3,4,10
TOR,2008,TOR,2008020133,N.J,AWAY,all,5,6,1,11
N.J,2008,N.J,2008020133,TOR,HOME,all,6,5,1,11
MIN,2008,MIN,2008020134,DAL,AWAY,all,4,4,0,8
DAL,2008,DAL,2008020134,MIN,HOME,all,4,4,0,8
DET,2008,DET,2008020135,ANA,AWAY,all,10,9,1,19
ANA,2008,ANA,2008020135,DET,HOME,all,9,10,1,19
BUF,2008,BUF,2008020136,T.B,HOME,all,4,5,1,9
T.B,2008,T.B,2008020136,BUF,AWAY,all,5,4,1,9
NYR,2008,NYR,2008020137,ATL,HOME,all,5,7,2,12
ATL,2008,ATL,2008020137,NYR,AWAY,all,7,5,2,12
PHI,2008,PHI,2008020138,NYI,HOME,all,5,6,1,11
NYI,2008,NYI,2008020138,PHI,AWAY,all,6,5,1,11
OTT,2008,OTT,2008020139,FLA,AWAY,all,3,5,2,8
FLA,2008,FLA,2008020139,OTT,HOME,all,5,3,2,8
EDM,2008,EDM,2008020140,NSH,AWAY,all,2,4,2,6
NSH,2008,NSH,2008020140,EDM,HOME,all,4,2,2,6
MIN,2008,MIN,2008020141,MTL,HOME,all,5,10,5,15
MTL,2008,MTL,2008020141,MIN,AWAY,all,10,5,5,15
STL,2008,STL,2008020142,CAR,HOME,all,7,4,3,11
CAR,2008,CAR,2008020142,STL,AWAY,all,4,7,3,11
CBJ,2008,CBJ,2008020143,COL,AWAY,all,8,3,5,11
COL,2008,COL,2008020143,CBJ,HOME,all,3,8,5,11
CGY,2008,CGY,2008020144,BOS,HOME,all,3,5,2,8
BOS,2008,BOS,2008020144,CGY,AWAY,all,5,3,2,8
ARI,2008,ARI,2008020145,PIT,HOME,all,4,4,0,8
PIT,2008,PIT,2008020145,ARI,AWAY,all,4,4,0,8
L.A,2008,L.A,2008020146,VAN,HOME,all,7,9,2,16
VAN,2008,VAN,2008020146,L.A,AWAY,all,9,7,2,16
DET,2008,DET,2008020147,S.J,AWAY,all,4,4,0,8
S.J,2008,S.J,2008020147,DET,HOME,all,4,4,0,8
CHI,2008,CHI,2008020148,DAL,HOME,all,6,4,2,10
DAL,2008,DAL,2008020148,CHI,AWAY,all,4,6,2,10
ANA,2008,ANA,2008020149,VAN,HOME,all,9,12,3,21
VAN,2008,VAN,2008020149,ANA,AWAY,all,12,9,3,21
EDM,2008,EDM,2008020150,CAR,AWAY,all,7,4,3,11
CAR,2008,CAR,2008020150,EDM,HOME,all,4,7,3,11
DAL,2008,DAL,2008020151,BOS,AWAY,all,15,14,1,29
BOS,2008,BOS,2008020151,DAL,HOME,all,14,15,1,29
WSH,2008,WSH,2008020152,BUF,AWAY,all,8,5,3,13
BUF,2008,BUF,2008020152,WSH,HOME,all,5,8,3,13
NYR,2008,NYR,2008020153,TOR,AWAY,all,5,2,3,7
TOR,2008,TOR,2008020153,NYR,HOME,all,2,5,3,7
ATL,2008,ATL,2008020154,N.J,AWAY,all,7,4,3,11
N.J,2008,N.J,2008020154,ATL,HOME,all,4,7,3,11
MTL,2008,MTL,2008020155,NYI,AWAY,all,5,4,1,9
NYI,2008,NYI,2008020155,MTL,HOME,all,4,5,1,9
CBJ,2008,CBJ,2008020156,CHI,HOME,all,4,9,5,13
CHI,2008,CHI,2008020156,CBJ,AWAY,all,9,4,5,13
T.B,2008,T.B,2008020157,OTT,HOME,all,3,4,1,7
OTT,2008,OTT,2008020157,T.B,AWAY,all,4,3,1,7
FLA,2008,FLA,2008020158,NSH,AWAY,all,4,3,1,7
NSH,2008,NSH,2008020158,FLA,HOME,all,3,4,1,7
STL,2008,STL,2008020159,PIT,HOME,all,5,4,1,9
PIT,2008,PIT,2008020159,STL,AWAY,all,4,5,1,9
ARI,2008,ARI,2008020160,MIN,HOME,all,2,3,1,5
MIN,2008,MIN,2008020160,ARI,AWAY,all,3,2,1,5
L.A,2008,L.A,2008020161,CGY,HOME,all,5,7,2,12
CGY,2008,CGY,2008020161,L.A,AWAY,all,7,5,2,12
PHI,2008,PHI,2008020162,EDM,HOME,all,7,7,0,14
EDM,2008,EDM,2008020162,PHI,AWAY,all,7,7,0,14
TOR,2008,TOR,2008020163,CAR,AWAY,all,6,2,4,8
CAR,2008,CAR,2008020163,TOR,HOME,all,2,6,4,8
ATL,2008,ATL,2008020164,FLA,HOME,all,3,4,1,7
FLA,2008,FLA,2008020164,ATL,AWAY,all,4,3,1,7
COL,2008,COL,2008020165,S.J,HOME,all,2,3,1,5
S.J,2008,S.J,2008020165,COL,AWAY,all,3,2,1,5
CGY,2008,CGY,2008020166,ANA,AWAY,all,3,8,5,11
ANA,2008,ANA,2008020166,CGY,HOME,all,8,3,5,11
VAN,2008,VAN,2008020167,DET,HOME,all,6,8,2,14
DET,2008,DET,2008020167,VAN,AWAY,all,8,6,2,14
N.J,2008,N.J,2008020168,BUF,HOME,all,5,8,3,13
BUF,2008,BUF,2008020168,N.J,AWAY,all,8,5,3,13
NYI,2008,NYI,2008020169,CBJ,HOME,all,7,2,5,9
CBJ,2008,CBJ,2008020169,NYI,AWAY,all,2,7,5,9
CHI,2008,CHI,2008020170,COL,HOME,all,8,7,1,15
COL,2008,COL,2008020170,CHI,AWAY,all,7,8,1,15
NYI,2008,NYI,2008020171,NYR,AWAY,all,7,5,2,12
NYR,2008,NYR,2008020171,NYI,HOME,all,5,7,2,12
CAR,2008,CAR,2008020172,TOR,AWAY,all,3,2,1,5
TOR,2008,TOR,2008020172,CAR,HOME,all,2,3,1,5
WSH,2008,WSH,2008020173,OTT,AWAY,all,5,1,4,6
OTT,2008,OTT,2008020173,WSH,HOME,all,1,5,4,6
ARI,2008,ARI,2008020174,CGY,AWAY,all,4,4,0,8
CGY,2008,CGY,2008020174,ARI,HOME,all,4,4,0,8
NSH,2008,NSH,2008020175,VAN,AWAY,all,8,6,2,14
VAN,2008,VAN,2008020175,NSH,HOME,all,6,8,2,14
ANA,2008,ANA,2008020176,L.A,AWAY,all,7,5,2,12
L.A,2008,L.A,2008020176,ANA,HOME,all,5,7,2,12
S.J,2008,S.J,2008020177,MIN,HOME,all,4,7,3,11
MIN,2008,MIN,2008020177,S.J,AWAY,all,7,4,3,11
N.J,2008,N.J,2008020178,T.B,HOME,all,3,2,1,5
T.B,2008,T.B,2008020178,N.J,AWAY,all,2,3,1,5
CBJ,2008,CBJ,2008020179,EDM,HOME,all,6,7,1,13
EDM,2008,EDM,2008020179,CBJ,AWAY,all,7,6,1,13
ANA,2008,ANA,2008020180,STL,HOME,all,6,2,4,8
STL,2008,STL,2008020180,ANA,AWAY,all,2,6,4,8
BOS,2008,BOS,2008020181,TOR,HOME,all,4,3,1,7
TOR,2008,TOR,2008020181,BOS,AWAY,all,3,4,1,7
NYR,2008,NYR,2008020182,T.B,HOME,all,6,11,5,17
T.B,2008,T.B,2008020182,NYR,AWAY,all,11,6,5,17
WSH,2008,WSH,2008020183,CAR,HOME,all,4,5,1,9
CAR,2008,CAR,2008020183,WSH,AWAY,all,5,4,1,9
NYI,2008,NYI,2008020184,ATL,AWAY,all,4,5,1,9
ATL,2008,ATL,2008020184,NYI,HOME,all,5,4,1,9
OTT,2008,OTT,2008020185,PHI,HOME,all,3,1,2,4
PHI,2008,PHI,2008020185,OTT,AWAY,all,1,3,2,4
PIT,2008,PIT,2008020186,EDM,HOME,all,7,9,2,16
EDM,2008,EDM,2008020186,PIT,AWAY,all,9,7,2,16
COL,2008,COL,2008020187,MIN,HOME,all,5,8,3,13
MIN,2008,MIN,2008020187,COL,AWAY,all,8,5,3,13
NSH,2008,NSH,2008020188,CGY,AWAY,all,9,11,2,20
CGY,2008,CGY,2008020188,NSH,HOME,all,11,9,2,20
ARI,2008,ARI,2008020189,VAN,AWAY,all,9,5,4,14
VAN,2008,VAN,2008020189,ARI,HOME,all,5,9,4,14
FLA,2008,FLA,2008020190,L.A,AWAY,all,7,8,1,15
L.A,2008,L.A,2008020190,FLA,HOME,all,8,7,1,15
STL,2008,STL,2008020191,S.J,AWAY,all,8,7,1,15
S.J,2008,S.J,2008020191,STL,HOME,all,7,8,1,15
OTT,2008,OTT,2008020192,CAR,AWAY,all,7,5,2,12
CAR,2008,CAR,2008020192,OTT,HOME,all,5,7,2,12
CBJ,2008,CBJ,2008020193,MTL,HOME,all,7,8,1,15
MTL,2008,MTL,2008020193,CBJ,AWAY,all,8,7,1,15
BUF,2008,BUF,2008020194,ATL,HOME,all,4,4,0,8
